Time (s),Identifier,Duration
5.00000e+00,32775,0.00000e+00
5.00000e+00,33282,0.00000e+00
1.50000e+01,32776,0.00000e+00
1.50000e+01,33282,0.00000e+00
2.00000e+01,768,0.00000e+00
2.00000e+01,786,0.00000e+00
2.20000e+01,33282,0.00000e+00
2.30000e+01,769,0.00000e+00
2.42500e+01,781,0.00000e+00
2.80000e+01,800,0.00000e+00
3.00000e+01,768,0.00000e+00
3.00000e+01,786,0.00000e+00
3.20000e+01,33282,0.00000e+00
3.30000e+01,769,0.00000e+00
3.42500e+01,781,0.00000e+00
3.80000e+01,800,0.00000e+00
4.10000e+01,768,0.00000e+00
4.10000e+01,786,0.00000e+00
4.30000e+01,33282,0.00000e+00
4.40000e+01,770,0.00000e+00
4.52500e+01,781,0.00000e+00
4.90000e+01,800,0.00000e+00
5.10000e+01,768,0.00000e+00
5.10000e+01,786,0.00000e+00
5.30000e+01,33282,0.00000e+00
5.40000e+01,770,0.00000e+00
5.52500e+01,781,0.00000e+00
5.90000e+01,800,0.00000e+00
6.30000e+01,768,0.00000e+00
6.30000e+01,786,0.00000e+00
6.50000e+01,33282,0.00000e+00
6.60000e+01,770,0.00000e+00
6.72500e+01,781,0.00000e+00
7.10000e+01,800,0.00000e+00
7.40000e+01,768,0.00000e+00
7.40000e+01,786,0.00000e+00
7.60000e+01,33282,0.00000e+00
7.70000e+01,770,0.00000e+00
7.82500e+01,781,0.00000e+00
8.20000e+01,800,0.00000e+00
8.50000e+01,768,0.00000e+00
8.50000e+01,786,0.00000e+00
8.70000e+01,33282,0.00000e+00
8.80000e+01,769,0.00000e+00
8.92500e+01,781,0.00000e+00
9.30000e+01,800,0.00000e+00
9.60000e+01,768,0.00000e+00
9.60000e+01,786,0.00000e+00
9.80000e+01,33282,0.00000e+00
9.90000e+01,769,0.00000e+00
1.00250e+02,781,0.00000e+00
1.04000e+02,800,0.00000e+00
1.08000e+02,768,0.00000e+00
1.08000e+02,786,0.00000e+00
1.10000e+02,33282,0.00000e+00
1.11000e+02,770,0.00000e+00
1.12250e+02,781,0.00000e+00
1.16000e+02,800,0.00000e+00
1.20000e+02,768,0.00000e+00
1.20000e+02,786,0.00000e+00
1.22000e+02,33282,0.00000e+00
1.23000e+02,770,0.00000e+00
1.24250e+02,781,0.00000e+00
1.28000e+02,800,0.00000e+00
1.32000e+02,768,0.00000e+00
1.32000e+02,786,0.00000e+00
1.34000e+02,33282,0.00000e+00
1.35000e+02,770,0.00000e+00
1.36250e+02,781,0.00000e+00
1.40000e+02,800,0.00000e+00
1.42000e+02,768,0.00000e+00
1.42000e+02,786,0.00000e+00
1.44000e+02,33282,0.00000e+00
1.45000e+02,769,0.00000e+00
1.46250e+02,781,0.00000e+00
1.50000e+02,800,0.00000e+00
1.54000e+02,768,0.00000e+00
1.54000e+02,786,0.00000e+00
1.56000e+02,33282,0.00000e+00
1.57000e+02,769,0.00000e+00
1.58250e+02,781,0.00000e+00
1.62000e+02,800,0.00000e+00
1.66000e+02,768,0.00000e+00
1.66000e+02,786,0.00000e+00
1.68000e+02,33282,0.00000e+00
1.69000e+02,769,0.00000e+00
1.70250e+02,781,0.00000e+00
1.74000e+02,800,0.00000e+00
1.77000e+02,768,0.00000e+00
1.77000e+02,786,0.00000e+00
1.79000e+02,33282,0.00000e+00
1.80000e+02,769,0.00000e+00
1.81250e+02,781,0.00000e+00
1.85000e+02,800,0.00000e+00
1.87000e+02,768,0.00000e+00
1.87000e+02,786,0.00000e+00
1.89000e+02,33282,0.00000e+00
1.90000e+02,770,0.00000e+00
1.91250e+02,781,0.00000e+00
1.95000e+02,800,0.00000e+00
1.97000e+02,768,0.00000e+00
1.97000e+02,786,0.00000e+00
1.99000e+02,33282,0.00000e+00
2.00000e+02,769,0.00000e+00
2.01250e+02,781,0.00000e+00
2.05000e+02,800,0.00000e+00
2.07000e+02,768,0.00000e+00
2.07000e+02,786,0.00000e+00
2.09000e+02,33282,0.00000e+00
2.10000e+02,770,0.00000e+00
2.11250e+02,781,0.00000e+00
2.15000e+02,800,0.00000e+00
2.18000e+02,768,0.00000e+00
2.18000e+02,786,0.00000e+00
2.20000e+02,33282,0.00000e+00
2.21000e+02,770,0.00000e+00
2.22250e+02,781,0.00000e+00
2.26000e+02,800,0.00000e+00
2.28000e+02,768,0.00000e+00
2.28000e+02,786,0.00000e+00
2.30000e+02,33282,0.00000e+00
2.31000e+02,769,0.00000e+00
2.32250e+02,781,0.00000e+00
2.36000e+02,800,0.00000e+00
2.38000e+02,768,0.00000e+00
2.38000e+02,786,0.00000e+00
2.40000e+02,33282,0.00000e+00
2.41000e+02,770,0.00000e+00
2.42250e+02,781,0.00000e+00
2.46000e+02,800,0.00000e+00
2.50000e+02,768,0.00000e+00
2.50000e+02,786,0.00000e+00
2.52000e+02,33282,0.00000e+00
2.53000e+02,769,0.00000e+00
2.54250e+02,781,0.00000e+00
2.58000e+02,800,0.00000e+00
2.61000e+02,768,0.00000e+00
2.61000e+02,786,0.00000e+00
2.63000e+02,33282,0.00000e+00
2.64000e+02,769,0.00000e+00
2.65250e+02,781,0.00000e+00
2.69000e+02,800,0.00000e+00
2.71000e+02,768,0.00000e+00
2.71000e+02,786,0.00000e+00
2.73000e+02,33282,0.00000e+00
2.74000e+02,770,0.00000e+00
2.75250e+02,781,0.00000e+00
2.79000e+02,800,0.00000e+00
2.81000e+02,768,0.00000e+00
2.81000e+02,786,0.00000e+00
2.83000e+02,33282,0.00000e+00
2.84000e+02,769,0.00000e+00
2.85250e+02,781,0.00000e+00
2.89000e+02,800,0.00000e+00
2.91000e+02,768,0.00000e+00
2.91000e+02,786,0.00000e+00
2.93000e+02,33282,0.00000e+00
2.94000e+02,770,0.00000e+00
2.95250e+02,781,0.00000e+00
2.99000e+02,800,0.00000e+00
3.02000e+02,768,0.00000e+00
3.02000e+02,786,0.00000e+00
3.04000e+02,33282,0.00000e+00
3.05000e+02,770,0.00000e+00
3.06250e+02,781,0.00000e+00
3.10000e+02,800,0.00000e+00
3.13000e+02,768,0.00000e+00
3.13000e+02,786,0.00000e+00
3.15000e+02,33282,0.00000e+00
3.16000e+02,769,0.00000e+00
3.17250e+02,781,0.00000e+00
3.21000e+02,800,0.00000e+00
3.24000e+02,768,0.00000e+00
3.24000e+02,786,0.00000e+00
3.26000e+02,33282,0.00000e+00
3.27000e+02,769,0.00000e+00
3.28250e+02,781,0.00000e+00
3.32000e+02,800,0.00000e+00
3.35000e+02,768,0.00000e+00
3.35000e+02,786,0.00000e+00
3.37000e+02,33282,0.00000e+00
3.38000e+02,769,0.00000e+00
3.39250e+02,781,0.00000e+00
3.43000e+02,800,0.00000e+00
3.46000e+02,768,0.00000e+00
3.46000e+02,786,0.00000e+00
3.48000e+02,33282,0.00000e+00
3.49000e+02,770,0.00000e+00
3.50250e+02,781,0.00000e+00
3.54000e+02,800,0.00000e+00
3.56000e+02,768,0.00000e+00
3.56000e+02,786,0.00000e+00
3.58000e+02,33282,0.00000e+00
3.59000e+02,770,0.00000e+00
3.60250e+02,781,0.00000e+00
3.64000e+02,800,0.00000e+00
3.67000e+02,768,0.00000e+00
3.67000e+02,786,0.00000e+00
3.69000e+02,33282,0.00000e+00
3.70000e+02,770,0.00000e+00
3.71250e+02,781,0.00000e+00
3.75000e+02,800,0.00000e+00
3.78000e+02,768,0.00000e+00
3.78000e+02,786,0.00000e+00
3.80000e+02,33282,0.00000e+00
3.81000e+02,770,0.00000e+00
3.82250e+02,781,0.00000e+00
3.86000e+02,800,0.00000e+00
3.89000e+02,768,0.00000e+00
3.89000e+02,786,0.00000e+00
3.91000e+02,33282,0.00000e+00
3.92000e+02,770,0.00000e+00
3.93250e+02,781,0.00000e+00
3.97000e+02,800,0.00000e+00
3.99000e+02,768,0.00000e+00
3.99000e+02,786,0.00000e+00
4.01000e+02,33282,0.00000e+00
4.02000e+02,769,0.00000e+00
4.03250e+02,781,0.00000e+00
4.07000e+02,800,0.00000e+00
4.10000e+02,768,0.00000e+00
4.10000e+02,786,0.00000e+00
4.12000e+02,33282,0.00000e+00
4.13000e+02,770,0.00000e+00
4.14250e+02,781,0.00000e+00
4.18000e+02,800,0.00000e+00
4.22000e+02,768,0.00000e+00
4.22000e+02,786,0.00000e+00
4.24000e+02,33282,0.00000e+00
4.25000e+02,769,0.00000e+00
4.26250e+02,781,0.00000e+00
4.30000e+02,800,0.00000e+00
4.34000e+02,768,0.00000e+00
4.34000e+02,786,0.00000e+00
4.36000e+02,33282,0.00000e+00
4.37000e+02,769,0.00000e+00
4.38250e+02,781,0.00000e+00
4.42000e+02,800,0.00000e+00
4.45000e+02,768,0.00000e+00
4.45000e+02,786,0.00000e+00
4.47000e+02,33282,0.00000e+00
4.48000e+02,769,0.00000e+00
4.49250e+02,781,0.00000e+00
4.53000e+02,800,0.00000e+00
4.55000e+02,1010,0.00000e+00
4.60000e+02,33281,0.00000e+00
4.61000e+02,32770,0.00000e+00
